Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
13148,0,0,0,0,1,4,1,1,5,1,0,6
13149,0,4,0,0,0,4,1,0,5,1,4,6
13150,0,0,0,0,0,4,1,0,5,1,4,6
13151,0,0,0,0,2,4,1,3,5,1,1,6
13152,0,0,0,0,1,4,1,1,5,1,0,6
13153,0,0,0,0,1,4,1,1,5,1,0,6
13154,1,0,5,2,1,6,0,1,3,0,0,0
13155,1,3,5,2,2,6,0,3,3,0,1,0
13156,1,3,6,2,2,5,0,3,0,0,1,2
13157,1,3,5,2,2,5,0,3,0,0,1,2
13158,1,3,5,2,2,5,0,3,0,0,1,2
13159,1,3,6,2,2,5,0,3,0,0,1,2
13160,1,3,6,2,2,5,0,3,0,0,1,2
13161,1,3,6,2,2,5,0,3,0,0,1,2
13162,0,0,0,0,1,4,1,1,5,1,0,6
13163,2,1,3,1,3,1,2,0,6,2,4,1
13164,2,1,3,1,3,1,2,4,6,2,3,1
13165,0,4,3,1,0,1,2,0,6,2,4,1
13166,2,4,3,1,3,1,2,4,6,2,3,1
13167,0,0,0,0,0,4,1,0,5,1,4,6
13168,0,0,0,0,1,4,1,1,5,1,0,6
13169,2,1,3,1,3,1,2,4,6,2,3,1
13170,2,4,3,1,0,1,2,0,6,2,4,1
13171,0,4,0,0,0,4,1,0,5,1,4,6
13172,0,4,0,0,0,4,1,0,5,1,4,6
13173,0,0,0,0,1,4,1,1,5,1,4,6
13174,0,4,3,0,0,1,1,0,6,1,4,1
13175,2,1,2,1,3,3,2,4,4,2,3,4
13176,2,1,2,1,3,3,2,4,4,2,3,4
13177,2,1,3,1,3,1,2,4,6,2,3,1
13178,2,1,3,1,3,1,2,4,6,2,3,4
13179,2,1,2,1,3,3,2,4,4,2,3,4
13180,2,1,2,1,3,3,2,4,4,2,3,4
13181,2,1,2,1,3,3,2,4,4,2,3,4
13182,2,1,2,1,3,3,2,4,4,2,3,4
13183,2,1,2,1,3,3,2,4,4,2,3,4
13184,2,1,2,1,3,3,2,4,4,2,3,4
13185,2,1,3,1,3,1,2,4,6,2,3,1
13186,0,4,3,0,0,1,1,0,6,1,4,1
13187,2,4,3,0,0,1,1,0,6,1,4,1
13188,2,4,3,1,0,1,2,0,6,2,4,1
13189,2,4,3,0,0,1,1,0,6,1,4,1
13190,0,4,3,0,0,4,1,0,5,1,4,6
13191,0,4,0,0,0,4,1,0,5,1,4,6
13192,0,4,3,0,0,1,1,0,6,1,4,1
13193,2,1,2,1,3,1,2,4,6,2,4,1
13194,2,1,2,1,3,1,2,4,6,2,3,1
13195,2,1,3,1,3,1,2,4,6,2,4,1
13196,2,1,2,1,3,3,2,4,4,2,3,4
13197,2,1,2,1,3,3,2,4,4,2,3,4
13198,0,0,0,0,1,4,1,1,5,1,0,6
13199,0,0,6,0,2,5,1,3,0,1,1,2
13200,0,0,0,0,1,4,1,1,5,1,0,6
13201,0,0,5,2,1,6,0,1,3,0,0,0
13202,0,4,3,0,0,1,1,0,6,1,4,1
13203,0,4,3,0,0,0,1,0,1,1,4,3
13204,0,4,4,0,0,0,1,0,1,1,4,3
13205,0,4,4,0,1,0,1,1,1,1,0,3
13206,0,4,0,0,1,0,1,1,1,1,0,3
13207,0,4,4,0,1,0,1,1,1,1,0,3
13208,0,0,0,0,1,4,1,1,5,1,0,6
13209,0,0,0,0,1,6,1,1,3,1,0,0
13210,0,0,0,0,1,6,1,1,3,1,0,0
13211,0,4,4,0,0,0,1,0,1,1,0,3
13212,0,0,0,0,1,0,1,1,1,1,0,3
13213,0,0,0,0,1,4,1,1,5,1,0,6
13214,0,0,0,0,1,4,1,1,5,1,0,6
13215,0,0,0,0,1,4,1,1,3,1,0,0
13216,0,0,0,0,1,4,1,1,5,1,0,6
13217,0,4,4,0,0,0,1,0,1,1,4,3
13218,0,4,3,0,0,1,1,0,6,1,4,1
13219,0,4,4,0,0,0,1,0,1,1,4,3
13220,0,4,4,0,0,1,1,0,6,1,4,1
13221,0,4,4,0,0,4,1,0,5,1,4,6
13222,0,0,5,0,1,6,1,1,3,1,0,0
13223,1,2,5,2,4,2,0,2,2,0,2,5
13224,1,2,1,2,4,2,0,2,2,0,2,5
13225,1,2,1,2,4,2,0,2,2,0,2,5
13226,1,2,1,2,4,2,0,2,2,0,2,5
13227,0,0,0,0,1,6,1,1,3,1,0,0
13228,0,0,0,0,1,6,1,1,3,1,0,0
13229,1,0,5,2,1,6,0,1,3,0,0,0
13230,0,0,5,0,1,6,0,1,3,0,0,0
13231,0,0,0,0,1,4,1,1,5,1,0,6
13232,0,4,0,0,0,4,1,0,5,1,4,6
13233,0,4,0,0,0,4,1,0,5,1,4,6
13234,0,4,4,0,0,0,1,0,1,1,4,3
13235,0,4,4,0,0,0,1,0,1,1,4,3
13236,0,4,4,0,0,0,1,0,1,1,4,1
13237,0,4,4,0,0,1,1,0,6,1,4,1
13238,2,4,4,0,0,0,1,0,1,1,4,3
13239,0,0,0,0,1,6,1,1,3,1,0,0
13240,0,0,5,0,1,6,1,1,3,1,0,0
13241,0,4,4,0,0,0,1,0,1,1,4,3
13242,0,0,0,0,1,0,1,1,1,1,0,3
13243,1,0,5,2,1,6,0,1,3,0,0,0
13244,1,2,1,2,4,2,0,2,2,0,2,5
13245,1,2,1,2,4,2,0,2,2,0,2,5
13246,0,0,5,0,1,6,1,1,3,1,0,0
13247,0,4,4,0,0,0,1,0,1,1,4,3
13248,0,4,4,0,0,0,1,0,1,1,4,3
13249,0,0,0,0,1,6,1,1,3,1,0,0
13250,1,2,1,2,4,2,0,2,2,0,2,5
