Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
20653,0,2,6,1,4,0,0,0,0,0,0,0
20654,0,3,6,1,4,0,0,0,0,0,0,0
20655,0,3,1,1,4,6,0,0,6,0,0,6
20656,0,3,6,1,4,0,0,0,6,0,0,6
20657,2,2,2,2,0,3,2,2,4,2,2,4
20658,0,2,6,1,4,0,0,0,0,0,0,0
20659,0,2,6,1,4,0,0,0,0,0,0,0
20660,0,2,6,1,0,0,0,2,0,0,2,0
20661,0,2,6,1,0,0,0,2,0,0,2,0
20662,2,2,6,1,0,3,0,2,4,0,2,4
20663,0,2,6,1,0,0,0,2,0,0,2,0
20664,0,2,6,1,0,0,0,2,0,0,2,0
20665,0,2,6,1,0,0,0,2,0,0,2,0
20666,2,4,0,2,3,5,2,4,1,2,4,1
20667,1,4,0,0,3,5,1,4,1,1,4,1
20668,1,4,0,0,3,5,1,4,1,1,4,1
20669,1,0,4,0,1,1,1,1,2,1,1,2
20670,1,4,0,0,3,5,2,4,1,2,4,1
20671,1,4,0,0,3,5,1,4,1,1,4,1
20672,2,4,0,2,3,5,2,4,1,2,4,1
20673,2,4,2,2,3,3,2,4,4,2,4,4
20674,0,2,6,1,0,0,0,2,0,0,2,0
20675,0,2,6,1,0,0,0,2,0,0,2,0
20676,2,2,6,1,0,0,0,2,0,0,2,0
20677,2,2,6,1,0,3,0,2,4,0,2,4
20678,2,2,2,2,0,3,2,2,4,2,2,4
20679,2,4,0,2,3,5,2,4,1,2,4,1
20680,1,0,4,0,1,1,1,1,2,1,1,2
20681,1,0,4,0,1,1,1,1,2,1,1,2
20682,1,4,0,0,3,5,1,4,1,1,4,1
20683,1,4,0,2,3,5,2,4,1,2,4,1
20684,2,4,0,2,3,5,2,4,1,2,4,1
20685,2,2,2,2,0,3,2,2,4,2,2,4
20686,2,4,2,2,3,3,2,4,4,2,4,4
20687,2,4,0,2,3,5,2,4,1,2,4,1
20688,1,4,0,0,3,5,1,4,1,1,4,1
20689,1,0,0,0,3,5,1,4,1,1,4,1
20690,2,4,0,2,3,5,2,4,1,2,4,1
20691,2,4,0,2,3,5,2,4,1,2,4,1
20692,2,4,2,2,0,3,2,2,4,2,2,4
20693,0,3,6,1,4,0,0,0,0,0,0,0
20694,0,2,6,1,0,0,0,2,0,0,2,0
20695,2,2,2,2,0,3,2,2,4,2,2,4
20696,2,2,6,2,0,3,2,2,4,2,2,4
20697,0,3,6,1,4,0,0,0,0,0,0,0
20698,0,3,1,1,4,6,0,0,6,0,0,6
20699,0,3,1,1,4,6,0,0,6,0,0,6
20700,0,3,6,1,4,0,0,0,0,0,0,0
20701,1,4,0,2,3,5,2,4,1,2,4,1
20702,1,0,0,0,3,5,1,4,1,1,4,1
20703,1,4,0,0,3,5,1,4,1,1,4,1
20704,1,4,0,0,3,5,1,4,1,1,4,1
20705,2,4,0,2,3,5,2,4,1,2,4,1
20706,2,4,0,2,3,5,2,4,1,2,4,1
20707,1,4,0,0,3,5,1,4,1,1,4,1
20708,1,0,4,0,1,1,1,1,2,1,1,2
20709,1,0,4,0,1,1,1,1,2,1,1,2
20710,1,0,4,0,1,1,1,1,2,1,1,2
20711,1,0,4,0,1,1,1,1,2,1,1,2
20712,1,0,4,0,1,1,1,1,2,1,1,2
20713,1,0,4,0,1,1,1,1,2,1,1,2
20714,1,0,0,0,1,5,1,1,2,1,1,2
20715,1,4,0,2,3,5,2,4,1,2,4,1
20716,2,4,2,2,3,5,2,4,1,2,4,1
20717,0,2,6,1,4,0,0,0,0,0,0,0
20718,0,3,1,1,4,0,0,0,0,0,0,0
20719,0,3,1,1,4,0,0,0,0,0,0,0
20720,2,2,6,1,0,3,0,2,4,0,2,4
20721,2,4,2,2,0,3,2,2,4,2,2,4
20722,0,3,1,1,4,6,0,0,6,0,0,6
20723,0,3,1,1,4,6,0,0,6,0,0,6
20724,0,3,1,1,4,6,0,0,6,0,0,6
20725,0,3,1,1,4,6,0,0,6,0,0,6
20726,0,1,3,2,2,2,0,3,3,0,3,3
20727,2,1,3,2,2,2,2,3,3,2,3,3
20728,2,1,3,2,2,2,2,3,3,2,3,3
20729,2,1,3,2,2,2,2,3,3,2,3,3
20730,0,1,3,2,2,2,0,3,3,0,3,3
20731,2,1,3,2,2,2,0,3,3,0,3,3
20732,2,4,2,2,3,2,2,3,3,2,3,3
20733,2,1,2,2,2,2,2,3,3,2,3,3
20734,2,1,3,2,2,2,2,3,3,2,3,3
20735,2,1,3,2,2,2,2,3,3,2,3,3
20736,0,1,3,2,2,2,2,3,3,2,3,3
20737,2,1,3,2,2,2,2,3,3,2,3,3
20738,2,1,3,2,2,2,2,3,3,2,3,3
20739,2,1,3,2,2,2,2,3,3,2,3,3
20740,2,1,3,2,2,2,2,3,3,2,3,3
20741,2,1,3,2,2,2,2,3,3,2,3,3
20742,0,1,3,1,2,2,0,3,3,0,3,3
20743,2,1,3,2,2,2,2,3,3,2,3,3
20744,2,1,3,2,2,2,2,3,3,2,3,3
20745,0,1,3,2,2,2,0,3,3,0,3,3
20746,0,1,3,1,2,2,0,3,3,0,3,3
20747,0,1,3,1,2,2,0,3,3,0,3,3
20748,0,1,3,1,2,2,0,3,3,0,3,3
20749,0,1,3,1,2,2,0,3,3,0,3,3
20750,0,1,3,2,2,2,0,3,3,0,3,3
20751,2,1,3,2,2,2,2,3,3,2,3,3
20752,2,1,3,2,2,2,2,3,3,2,3,3
20753,2,1,3,2,2,2,2,3,3,2,3,3
20754,2,1,3,2,2,2,2,3,3,2,3,3
20755,0,1,3,2,2,2,0,3,3,0,3,3
20756,0,3,3,1,4,6,0,0,6,0,0,6
20757,0,3,1,1,4,6,0,0,6,0,0,6
20758,0,1,3,1,2,6,0,3,6,0,3,6
20759,0,1,3,1,2,2,0,3,3,0,3,3
20760,1,0,4,0,1,1,1,1,2,1,1,2
20761,1,0,5,0,1,4,1,1,5,1,1,5
20762,1,0,5,0,1,4,1,1,5,1,1,5
20763,2,4,2,2,3,4,2,4,5,2,4,5
20764,2,4,5,2,3,4,2,4,5,2,4,5
20765,1,4,5,0,3,4,1,4,5,1,4,5
20766,1,0,5,0,1,4,1,1,5,1,1,5
20767,1,0,4,0,1,1,1,1,2,1,1,2
20768,1,0,4,0,1,1,1,1,2,1,1,2
20769,1,0,4,0,1,1,1,1,2,1,1,2
20770,1,0,4,0,1,1,1,1,2,1,1,2
20771,1,0,4,0,1,1,1,1,2,1,1,2
20772,1,0,5,0,1,4,1,1,5,1,1,5
20773,1,0,4,0,1,1,1,1,2,1,1,2
20774,1,0,4,0,1,1,1,1,2,1,1,2
20775,1,0,4,0,1,1,1,1,2,1,1,2
20776,1,0,4,0,1,1,1,1,2,1,1,2
20777,1,0,4,0,1,1,1,1,2,1,1,2
20778,1,0,4,0,1,1,1,1,2,1,1,2
20779,1,0,4,0,1,1,1,1,2,1,1,2
20780,1,0,4,0,1,1,1,1,2,1,1,2
20781,1,0,4,0,1,1,1,1,2,1,1,2
20782,1,0,4,0,1,1,1,1,2,1,1,2
20783,1,0,4,0,1,1,1,1,2,1,1,2
20784,1,4,5,0,1,4,1,1,5,1,1,5
20785,1,4,5,0,3,4,1,4,5,1,4,5
20786,1,4,5,0,3,4,1,4,5,1,4,5
20787,1,0,4,0,1,1,1,1,2,1,1,2
20788,1,0,4,0,1,1,1,1,2,1,1,2
20789,1,0,4,0,1,1,1,1,2,1,1,2
20790,1,0,4,0,1,1,1,1,2,1,1,2
20791,1,0,5,0,1,4,1,1,5,1,1,5
20792,1,0,5,0,1,4,1,1,5,1,1,5
20793,1,0,4,0,1,1,1,1,2,1,1,2
20794,1,0,4,0,1,1,1,1,2,1,1,2
20795,1,0,4,0,1,1,1,1,2,1,1,2
20796,1,0,4,0,1,1,1,1,2,1,1,2
20797,1,0,4,0,1,1,1,1,2,1,1,2
20798,1,0,4,0,1,1,1,1,5,1,1,5
20799,1,0,4,0,1,1,1,1,5,1,1,5
20800,1,0,5,0,1,4,1,1,5,1,1,5
20801,1,4,5,0,3,4,1,1,5,1,1,5
20802,2,4,2,2,3,5,2,4,1,2,4,1
20803,2,1,3,2,2,2,2,3,3,2,3,3
20804,2,1,3,2,2,2,2,3,3,2,3,3
20805,0,1,3,1,2,2,0,3,3,0,3,3
20806,0,1,3,2,2,2,0,3,3,0,3,3
20807,0,1,3,1,2,2,0,3,3,0,3,3
20808,0,1,3,1,2,2,0,3,3,0,3,3
20809,0,1,3,1,2,2,0,3,3,0,3,3
20810,0,1,3,2,2,2,0,3,3,0,3,3
20811,2,1,3,2,2,2,2,3,3,2,3,3
20812,2,1,3,2,2,2,2,3,3,2,3,3
20813,2,1,3,2,2,2,2,3,3,2,3,3
20814,2,4,2,2,2,2,2,3,3,2,3,3
20815,2,1,3,2,2,2,2,3,3,2,3,3
20816,2,1,3,2,2,2,2,3,3,2,3,3
20817,0,1,3,1,2,2,0,3,3,0,3,3
20818,0,1,3,1,2,2,0,3,3,0,3,3
20819,0,1,3,1,2,2,0,3,3,0,3,3
20820,0,1,3,1,2,2,0,3,3,0,3,3
20821,2,2,2,2,2,2,2,3,3,2,3,3
20822,2,4,2,2,0,3,2,2,4,2,2,4
20823,2,2,2,2,0,3,2,2,4,2,2,4
20824,2,2,6,2,0,3,2,2,4,2,2,4
