Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
237,2,3,4,2,4,6,2,3,2,2,2,2
238,2,3,4,2,4,6,2,3,2,2,2,2
239,2,3,4,2,0,4,2,1,0,2,4,4
240,2,3,4,2,4,6,2,3,2,2,2,2
241,2,3,4,2,0,4,2,3,2,2,2,2
242,1,3,4,2,0,4,2,1,0,2,4,4
243,1,3,4,2,0,4,2,1,0,2,4,4
244,1,3,3,2,0,4,2,1,0,2,4,4
245,1,3,3,2,0,4,2,1,0,2,4,4
246,1,3,3,2,0,4,1,1,0,1,4,4
247,1,3,3,2,0,4,1,1,0,1,4,4
248,1,3,3,2,0,4,2,1,0,2,4,4
249,1,3,3,2,0,4,2,1,0,2,4,4
250,1,3,3,2,0,4,1,1,0,1,4,4
251,1,3,3,2,0,4,2,1,0,2,4,4
252,1,3,3,2,0,4,2,1,0,2,4,4
253,1,3,4,2,0,4,2,1,0,2,4,4
254,1,3,4,2,0,4,2,1,0,2,4,4
255,2,2,4,2,4,6,2,3,2,2,2,2
256,2,2,4,2,4,6,2,3,2,2,2,2
257,2,2,4,2,4,6,2,3,2,2,2,2
258,2,3,4,2,0,4,2,1,0,2,4,4
259,2,3,4,2,0,4,2,1,0,2,4,4
260,2,3,4,2,0,4,2,1,0,2,4,4
261,2,3,4,2,0,6,2,3,2,2,2,2
262,2,2,4,2,4,6,2,3,2,2,2,2
263,2,2,6,2,4,6,2,3,2,2,2,2
264,2,2,6,2,4,6,2,3,2,2,2,2
265,2,2,6,2,4,6,2,3,2,2,2,2
266,2,2,6,2,4,6,2,3,2,2,2,2
267,2,2,6,2,4,6,2,3,2,2,2,2
268,2,2,6,2,4,6,2,3,2,2,2,2
269,2,2,6,2,4,6,2,3,2,2,2,2
270,2,2,4,2,4,6,2,3,2,2,2,2
271,2,2,4,2,4,6,2,3,2,2,2,2
272,2,2,6,2,4,6,2,3,2,2,2,2
273,2,3,4,2,4,6,2,3,2,2,2,2
274,2,3,4,2,0,4,2,1,0,2,4,4
275,2,3,4,2,0,4,2,1,0,2,4,4
276,2,2,4,2,4,6,2,3,2,2,2,2
277,2,2,4,2,4,6,2,3,2,2,2,2
278,2,3,4,2,4,6,2,3,2,2,2,2
279,1,3,4,2,0,4,2,1,0,2,4,4
280,1,3,4,2,0,4,2,1,0,2,4,4
281,1,3,4,2,0,4,2,1,0,2,4,4
282,2,2,4,2,4,6,2,3,2,2,2,2
283,1,3,4,2,0,4,2,1,0,2,4,4
284,1,4,0,0,2,0,1,4,5,1,1,5
285,1,4,3,0,2,4,1,4,0,1,1,4
286,1,3,4,2,0,4,2,1,0,2,4,4
287,2,3,4,2,0,4,2,1,0,2,4,4
288,1,3,4,2,0,4,2,1,0,2,4,4
289,1,3,4,2,0,4,2,1,0,2,4,4
290,2,3,4,2,0,4,2,3,0,2,2,4
291,2,2,4,2,4,6,2,3,2,2,2,2
292,2,3,4,2,4,6,2,3,2,2,2,2
293,1,3,4,2,0,4,2,1,0,2,4,4
294,1,3,3,2,0,4,2,1,0,2,4,4
295,1,3,3,2,0,4,2,1,0,1,4,4
296,1,3,3,2,0,4,2,1,0,2,4,4
297,1,3,3,2,0,4,2,1,0,2,4,4
298,1,3,3,2,0,4,2,1,0,2,4,4
299,1,3,3,2,0,4,2,1,0,2,4,4
300,1,3,3,2,0,4,2,1,0,2,4,4
301,1,3,3,2,0,4,2,1,0,2,4,4
302,1,3,3,2,0,4,2,1,0,1,4,4
303,1,3,3,2,0,4,2,1,0,2,4,4
304,1,3,3,2,0,4,2,1,0,2,4,4
305,1,3,3,2,0,4,2,1,0,2,4,4
306,1,3,4,2,0,4,2,1,0,2,4,4
307,2,3,4,2,0,4,2,3,2,2,2,2
308,2,2,4,2,4,6,2,3,2,2,2,2
309,2,2,4,2,4,6,2,3,2,2,2,2
310,2,2,4,2,4,6,2,3,2,2,2,2
311,2,3,4,2,4,6,2,3,2,2,2,2
312,2,3,4,2,0,4,2,1,0,2,4,4
313,2,3,4,2,0,4,2,1,0,2,4,4
314,2,2,4,2,4,6,2,3,2,2,2,2
315,2,2,4,2,4,6,2,3,2,2,2,2
316,2,2,6,2,4,6,2,3,2,2,2,2
317,2,2,6,2,4,6,2,3,2,2,2,2
318,2,2,6,2,4,6,2,3,2,2,2,2
319,2,2,6,2,4,6,2,3,2,2,2,2
320,2,2,6,2,4,6,2,3,2,2,2,2
321,2,2,6,2,4,6,2,3,2,2,2,2
322,2,2,4,2,4,6,2,3,2,2,2,2
323,2,2,4,2,4,6,2,3,2,2,2,2
324,2,2,4,2,4,6,2,3,2,2,2,2
325,1,3,3,2,0,4,2,1,0,2,4,4
326,1,3,3,2,0,4,2,1,0,2,4,4
327,1,3,3,2,0,4,2,1,0,2,4,4
328,2,2,4,2,4,6,2,3,2,2,2,2
329,2,2,6,2,4,6,2,3,2,2,2,2
330,2,3,4,2,0,4,2,1,0,2,4,4
331,1,3,3,2,0,4,2,1,0,2,4,4
332,1,3,3,2,0,4,2,1,0,1,4,4
333,1,3,3,2,0,4,2,1,0,2,4,4
334,2,2,4,2,4,6,2,3,2,2,2,2
335,2,3,4,2,4,6,2,3,2,2,2,2
336,1,3,3,2,0,4,2,1,0,2,4,4
337,1,3,3,2,0,4,1,1,0,1,4,4
338,2,2,4,2,4,6,2,3,2,2,2,2
339,2,2,4,2,4,6,2,3,2,2,2,2
340,1,4,3,2,0,4,1,1,0,1,1,4
341,1,4,0,0,2,0,1,4,5,1,1,5
342,1,3,4,2,0,4,2,1,0,2,4,4
343,2,3,4,2,0,4,2,1,0,2,4,4
344,2,3,4,2,4,6,2,3,2,2,2,2
345,2,3,4,2,0,4,2,3,2,2,2,2
346,1,3,4,2,0,4,2,1,0,2,4,4
347,1,3,4,2,0,4,2,1,0,2,4,4
348,1,3,3,2,0,4,2,1,0,2,4,4
349,1,3,3,2,0,4,2,1,0,2,4,4
350,1,3,3,2,0,4,2,1,0,2,4,4
351,1,3,3,2,0,4,1,1,0,1,4,4
352,1,3,3,2,0,4,1,1,0,1,4,4
353,1,3,3,2,0,4,1,1,0,1,4,4
354,1,3,3,2,0,4,2,1,0,2,4,4
355,1,3,3,2,0,4,2,1,0,2,4,4
356,1,3,3,2,0,4,2,1,0,2,4,4
357,1,3,3,2,0,4,2,1,0,1,4,4
358,1,3,3,2,0,4,1,1,0,1,4,4
359,1,3,3,2,0,4,2,1,0,2,4,4
360,1,3,3,2,0,4,2,1,0,2,4,4
