Algorithm,Date 1,Date 2,Date 3,Error,K,MAE,Mask,Pairs,Predicted Date,RMSE,R^2,Region,Type,W,correlation,method,signal
ESTARFM,20170717,20170818,,0.001996986,8,0.05984366,None,,20170802,0.10273502,0.8203172,BenRib,Original,7,0.925387971,,NDVI
ESTARFM,20170717,20170818,,0.000504941,4,0.059992022,None,,20170802,0.100144779,0.829263603,BenRib,Original,9,0.930868185,,NDVI
ESTARFM,20170717,20170818,,0.001788036,6,0.059995088,None,,20170802,0.101965299,0.822999584,BenRib,Original,9,0.926500893,,NDVI
ESTARFM,20170717,20170818,,0.00125344,8,0.060225882,None,,20170802,0.103869366,0.816327368,BenRib,Original,9,0.922687743,,NDVI
ESTARFM,20170717,20170818,,0.004224831,4,0.056265532,None,,20170802,0.096922268,0.840074902,BenRib,Original,3,0.937566132,,Reflectance
ESTARFM,20170717,20170818,,0.004118583,6,0.05537058,None,,20170802,0.095759478,0.84388917,BenRib,Original,3,0.938834519,,Reflectance
ESTARFM,20170717,20170818,,0.004078875,8,0.056284102,None,,20170802,0.097315363,0.838775031,BenRib,Original,3,0.935405774,,Reflectance
ESTARFM,20170717,20170818,,0.004293722,4,0.056633274,None,,20170802,0.096686752,0.840851176,BenRib,Original,5,0.937938048,,Reflectance
ESTARFM,20170717,20170818,,0.004320077,6,0.055444501,None,,20170802,0.095413394,0.84501553,BenRib,Original,5,0.938796402,,Reflectance
ESTARFM,20170717,20170818,,0.004214682,8,0.056474127,None,,20170802,0.096909999,0.840115387,BenRib,Original,5,0.935932951,,Reflectance
ESTARFM,20170717,20170818,,0.004411498,4,0.056966031,None,,20170802,0.096852321,0.840305649,BenRib,Original,7,0.937419833,,Reflectance
ESTARFM,20170717,20170818,,0.004472465,6,0.055603832,None,,20170802,0.095481262,0.844794971,BenRib,Original,7,0.938207394,,Reflectance
ESTARFM,20170717,20170818,,0.004405148,8,0.056577394,None,,20170802,0.096967007,0.839927226,BenRib,Original,7,0.935286698,,Reflectance
ESTARFM,20170717,20170818,,0.004520358,4,0.057158193,None,,20170802,0.096984024,0.839871039,BenRib,Original,9,0.93680933,,Reflectance
ESTARFM,20170717,20170818,,0.004400341,6,0.055746882,None,,20170802,0.095791139,0.843785925,BenRib,Original,9,0.93702063,,Reflectance
ESTARFM,20170717,20170818,,0.004399619,8,0.056582682,None,,20170802,0.096907325,0.840124211,BenRib,Original,9,0.934956207,,Reflectance
ESTARFM,20170710,20170912,,-0.012527108,4,0.025549516,None,,20170811,0.046774031,0.932560413,BGL,Original,3,0.971148497,,NDVI
ESTARFM,20170710,20170912,,-0.013024307,6,0.025671154,None,,20170811,0.047304968,0.931020697,BGL,Original,3,0.970489964,,NDVI
ESTARFM,20170710,20170912,,-0.012624359,8,0.025796133,None,,20170811,0.047598165,0.930162975,BGL,Original,3,0.969932059,,NDVI
ESTARFM,20170710,20170912,,-0.012589275,4,0.025644318,None,,20170811,0.047180345,0.931383664,BGL,Original,5,0.970579939,,NDVI
ESTARFM,20170710,20170912,,-0.013126671,6,0.025870598,None,,20170811,0.048229532,0.92829798,BGL,Original,5,0.969158153,,NDVI
ESTARFM,20170710,20170912,,-0.012646131,8,0.026058708,None,,20170811,0.048465566,0.927594447,BGL,Original,5,0.968634993,,NDVI
ESTARFM,20170710,20170912,,-0.012564093,4,0.025881313,None,,20170811,0.048085464,0.928725706,BGL,Original,7,0.969546027,,NDVI
ESTARFM,20170710,20170912,,-0.013198329,6,0.025967669,None,,20170811,0.048746146,0.92675367,BGL,Original,7,0.968542523,,NDVI
ESTARFM,20170710,20170912,,-0.01258374,8,0.026229567,None,,20170811,0.049106152,0.925667779,BGL,Original,7,0.967740312,,NDVI
ESTARFM,20170710,20170912,,-0.01274568,4,0.026012192,None,,20170811,0.048598992,0.927195232,BGL,Original,9,0.968902164,,NDVI
ESTARFM,20170710,20170912,,-0.013356876,6,0.026041986,None,,20170811,0.049312254,0.925042514,BGL,Original,9,0.96784577,,NDVI
ESTARFM,20170710,20170912,,-0.012702251,8,0.026349687,None,,20170811,0.049726579,0.923777627,BGL,Original,9,0.966924221,,NDVI
ESTARFM,20170710,20170912,,-0.014683869,4,0.027870285,None,,20170811,0.052590932,0.914743591,BGL,Original,3,0.962971889,,Reflectance
ESTARFM,20170710,20170912,,-0.01428998,6,0.028178312,None,,20170811,0.051527638,0.918156204,BGL,Original,3,0.964366012,,Reflectance
ESTARFM,20170710,20170912,,-0.014210421,8,0.028303988,None,,20170811,0.052374897,0.915442592,BGL,Original,3,0.963037052,,Reflectance
ESTARFM,20170710,20170912,,-0.014876301,4,0.028364046,None,,20170811,0.050600092,0.921076213,BGL,Original,5,0.965982693,,Reflectance
ESTARFM,20170710,20170912,,-0.013856703,6,0.028599208,None,,20170811,0.050778073,0.920520022,BGL,Original,5,0.965261254,,Reflectance
ESTARFM,20170710,20170912,,-0.014302335,8,0.028729822,None,,20170811,0.050356294,0.921834911,BGL,Original,5,0.966033192,,Reflectance
ESTARFM,20170710,20170912,,-0.014630726,4,0.02847319,None,,20170811,0.050566347,0.921181445,BGL,Original,7,0.965984963,,Reflectance
ESTARFM,20170710,20170912,,-0.013597028,6,0.028571111,None,,20170811,0.050338794,0.921889232,BGL,Original,7,0.965798841,,Reflectance
ESTARFM,20170710,20170912,,-0.014106147,8,0.02863312,None,,20170811,0.050094755,0.922644746,BGL,Original,7,0.966337999,,Reflectance
ESTARFM,20170710,20170912,,-0.014365459,4,0.028670549,None,,20170811,0.051691854,0.917633708,BGL,Original,9,0.964480573,,Reflectance
ESTARFM,20170710,20170912,,-0.013340095,6,0.028535308,None,,20170811,0.050779383,0.920515921,BGL,Original,9,0.965194857,,Reflectance
